Name Longitude Latitude Weight
北京 116.40 39.90 5
上海 121.47 31.23 5
广州 113.27 23.13 5
深圳 114.05 22.55 5
成都 104.07 30.67 5
杭州 120.15 30.28 5
武汉 114.30 30.60 5
天津 117.20 39.12 5
南京 118.78 32.07 5
重庆 106.55 29.57 5
西安 108.93 34.27 5
长沙 112.93 28.23 5
青岛 120.38 36.07 5
沈阳 123.43 41.80 5
大连 121.62 38.92 5
厦门 118.08 24.48 5
苏州 120.58 31.30 5
宁波 121.55 29.88 5
香港 114.08 22.20 5
澳门 113.33 22.13 5
台北 121.50 25.03 5
高雄 120.28 22.62 5
无锡 120.30 31.57 2
福州 119.30 26.08 2
合肥 117.25 31.83 2
郑州 113.62 34.75 2
哈尔滨 126.53 45.80 2
佛山 113.12 23.02 2
济南 116.98 36.67 2
东莞 113.75 23.05 2
昆明 102.72 25.05 2
太原 112.55 37.87 2
南昌 115.85 28.68 2
南宁 108.37 22.82 2
温州 120.70 28.00 2
石家庄 114.52 38.05 2
长春 125.32 43.90 2
泉州 118.67 24.88 2
贵阳 106.63 26.65 2
常州 119.95 31.78 2
珠海 113.57 22.27 2
金华 119.65 29.08 2
烟台 121.43 37.45 2
海口 110.32 20.03 2
惠州 114.42 23.12 2
乌鲁木齐 87.62 43.82 2
徐州 117.18 34.27 2
嘉兴 120.75 30.75 2
潍坊 119.15 36.70 2
洛阳 112.45 34.62 2
南通 120.88 31.98 2
扬州 119.40 32.40 2
汕头 116.68 23.35 2
兰州 103.82 36.07 2
基隆 121.73 25.13 2
桂林 110.28 25.28 1
三亚 109.50 18.25 1
呼和浩特 111.73 40.83 1
绍兴 120.57 30.00 1
泰州 119.92 32.45 1
银川 106.28 38.47 1
中山 113.38 22.52 1
保定 115.47 38.87 1
西宁 101.78 36.62 1
芜湖 118.38 31.33 1
赣州 114.93 25.83 1
绵阳 104.73 31.47 1
漳州 117.65 24.52 1
莆田 119.00 25.43 1
威海 122.12 37.52 1
邯郸 114.48 36.62 1
临沂 118.35 35.05 1
唐山 118.20 39.63 1
台州 121.43 28.68 1
宜昌 111.28 30.70 1
湖州 120.08 30.90 1
包头 109.83 40.65 1
济宁 116.58 35.42 1
盐城 120.15 33.35 1
鞍山 122.98 41.10 1
廊坊 116.70 39.52 1
衡阳 112.57 26.90 1
秦皇岛 119.60 39.93 1
吉林 126.55 43.83 1
大庆 125.03 46.58 1
淮安 119.02 33.62 1
丽江 100.23 26.88 1
揭阳 116.37 23.55 1
荆州 112.23 30.33 1
连云港 119.22 34.60 1
张家口 114.88 40.82 1
遵义 106.92 27.73 1
上饶 117.97 28.45 1
龙岩 117.03 25.10 1
衢州 118.87 28.93 1
赤峰 118.92 42.27 1
湛江 110.35 21.27 1
运城 110.98 35.02 1
鄂尔多斯 109.80 39.62 1
岳阳 113.12 29.37 1
安阳 114.38 36.10 1
株洲 113.13 27.83 1
镇江 119.45 32.20 1
淄博 118.05 36.82 1
郴州 113.02 25.78 1
南平 118.17 26.65 1
齐齐哈尔 123.95 47.33 1
西藏 91.11 29.97 1
